CREATE TABLE Production 
(
    manufacture_date	VARCHAR(512),
    item_id	INT,
    item_desc	INT,
    raw_material_cost	DOUBLE,
    number_of_carton_produce	DOUBLE
);

INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100001', '100001', '18027.27', '17930.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100292', '100292', '37200.00', '25600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100293', '100293', '52266.67', '58000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100294', '100294', '3900.00', '3650.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100295', '100295', '3300.00', '4150.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100296', '100296', '11500.00', '7350.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100297', '100297', '6600.00', '7450.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100298', '100298', '13000.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100299', '100299', '16250.00', '13400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100307', '100307', '16050.00', '16500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100308', '100308', '21500.00', '17750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100309', '100309', '18300.00', '20000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100310', '100310', '25600.00', '22200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100311', '100311', '27000.00', '23250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100312', '100312', '27000.00', '26500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100313', '100313', '26000.00', '26500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100314', '100314', '21400.00', '26550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100315', '100315', '29400.00', '27200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100316', '100316', '24750.00', '28250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100317', '100317', '27000.00', '28500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100318', '100318', '28150.00', '30000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100328', '100328', '28100.00', '31550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100329', '100329', '38000.00', '38000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100330', '100330', '2500.00', '3000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100331', '100331', '5000.00', '4033.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100332', '100332', '5000.00', '4233.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100333', '100333', '2500.00', '4500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100334', '100334', '4500.00', '4850.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100335', '100335', '9000.00', '5500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100336', '100336', '11400.00', '6533.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100337', '100337', '9600.00', '7500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100338', '100338', '12000.00', '10466.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100339', '100339', '16900.00', '14666.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100340', '100340', '17100.00', '16433.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100341', '100341', '18000.00', '20166.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100342', '100342', '27000.00', '24933.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100343', '100343', '36000.00', '33266.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100344', '100344', '33200.00', '36433.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100561', '100561', '48000.00', '47900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100562', '100562', '45100.00', '52800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100563', '100563', '61700.00', '63500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100564', '100564', '2750.00', '2800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100565', '100565', '2800.00', '3000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100566', '100566', '8050.00', '4500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100567', '100567', '2800.00', '5000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100568', '100568', '8300.00', '7000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100569', '100569', '7050.00', '8000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100570', '100570', '5000.00', '8000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100571', '100571', '20050.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100572', '100572', '15000.00', '17900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100573', '100573', '16000.00', '18000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100574', '100574', '22500.00', '18900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100766', '100766', '20050.00', '25000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100767', '100767', '29850.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100768', '100768', '17600.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100769', '100769', '36250.00', '31000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100770', '100770', '32200.00', '32000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100771', '100771', '37950.00', '35000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100772', '100772', '47550.00', '36500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100773', '100773', '49150.00', '49400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100774', '100774', '83950.00', '88500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100775', '100775', '3800.00', '2500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100776', '100776', '3000.00', '3500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100777', '100777', '5000.00', '5750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100778', '100778', '5000.00', '5900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100779', '100779', '8300.00', '6650.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100780', '100780', '12500.00', '8650.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100781', '100781', '10000.00', '11150.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100782', '100782', '5000.00', '11500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100783', '100783', '19500.00', '13000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100784', '100784', '9000.00', '13550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100785', '100785', '15000.00', '14000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100786', '100786', '12500.00', '14500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101094', '101094', '20900.00', '15000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101095', '101095', '17000.00', '19450.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101096', '101096', '19000.00', '19900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101097', '101097', '23000.00', '21500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101098', '101098', '22000.00', '23000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101099', '101099', '20200.00', '23400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101100', '101100', '24000.00', '24000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101411', '101411', '30200.00', '24500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101412', '101412', '28000.00', '26350.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101708', '101708', '30000.00', '29950.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101709', '101709', '31000.00', '31550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101710', '101710', '30000.00', '32000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101711', '101711', '32300.00', '32500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101712', '101712', '45000.00', '41500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101713', '101713', '32000.00', '47750.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101714', '101714', '58100.00', '58800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101715', '101715', '63100.00', '65000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101716', '101716', '72000.00', '73550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101717', '101717', '100000.00', '100000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101718', '101718', '4500.00', '2600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101719', '101719', '4000.00', '2600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101720', '101720', '3000.00', '2900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101721', '101721', '9000.00', '3000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101722', '101722', '9000.00', '5000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101723', '101723', '8100.00', '5000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101724', '101724', '4000.00', '6900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101725', '101725', '6300.00', '7000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101726', '101726', '20000.00', '10000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101727', '101727', '14000.00', '10000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101728', '101728', '6000.00', '10000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101729', '101729', '16000.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101730', '101730', '13300.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101731', '101731', '12000.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101732', '101732', '5000.00', '12000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101911', '101911', '18500.00', '12600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101912', '101912', '17100.00', '14800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101913', '101913', '11400.00', '14900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101914', '101914', '26000.00', '15000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101915', '101915', '16000.00', '15000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101916', '101916', '17100.00', '15400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101917', '101917', '15600.00', '15500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101918', '101918', '15000.00', '15500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101919', '101919', '15000.00', '16100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101920', '101920', '20000.00', '17000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101921', '101921', '19600.00', '17000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101922', '101922', '17000.00', '17000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101923', '101923', '18000.00', '17200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101924', '101924', '21500.00', '18000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101925', '101925', '19000.00', '18000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101926', '101926', '18000.00', '18000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101927', '101927', '30000.00', '20000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101928', '101928', '23000.00', '20000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101929', '101929', '21800.00', '21000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101930', '101930', '25800.00', '21600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101931', '101931', '25900.00', '23400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101932', '101932', '25000.00', '23500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101933', '101933', '20000.00', '23900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101934', '101934', '25000.00', '25000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101935', '101935', '17700.00', '25000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101936', '101936', '35100.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101937', '101937', '30000.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101938', '101938', '28000.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101939', '101939', '28000.00', '28000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101940', '101940', '30000.00', '30000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101941', '101941', '32800.00', '31500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101942', '101942', '40000.00', '33000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101943', '101943', '13000.00', '33000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101944', '101944', '33000.00', '38000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101945', '101945', '53000.00', '38800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101946', '101946', '35000.00', '39800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101947', '101947', '42500.00', '40000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101948', '101948', '31300.00', '40000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101949', '101949', '33000.00', '40200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101950', '101950', '44000.00', '43300.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101951', '101951', '45000.00', '50000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101952', '101952', '45000.00', '50000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101953', '101953', '58000.00', '53000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101954', '101954', '45000.00', '54200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101955', '101955', '47000.00', '55000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101956', '101956', '43800.00', '57000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101957', '101957', '64800.00', '58700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101958', '101958', '54000.00', '60000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101959', '101959', '76400.00', '70000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101960', '101960', '71200.00', '72000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101961', '101961', '93000.00', '72200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101962', '101962', '69000.00', '74100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101963', '101963', '46000.00', '77000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101964', '101964', '88000.00', '93800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101965', '101965', '95000.00', '95000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101966', '101966', '89000.00', '95000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101967', '101967', '83000.00', '95000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101968', '101968', '108300.00', '104500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101969', '101969', '110000.00', '110000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101970', '101970', '90200.00', '112100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101971', '101971', '128200.00', '128000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101972', '101972', '180400.00', '180500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101973', '101973', '195000.00', '210000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101974', '101974', '32800.00', '54700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101975', '101975', '40000.00', '58100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101976', '101976', '13000.00', '58600.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101977', '101977', '33000.00', '48500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101978', '101978', '53000.00', '55000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101979', '101979', '35000.00', '64900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101980', '101980', '42500.00', '66700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '101981', '101981', '31300.00', '80100.00');
